,SECTOR,YAHOO_SYMBOL,FINDATA_CURR,STOCK_NAME,CURRENCY,EXCHANGE,EXCHANGE_STATE,MARKETCAP,MARKETPRICE,UPDATED,MARKETOPEN,MARKETCLOSE,MARKETTIME,FX_RATE,ENTERPRISEVALUE,SHARESOUTSTANDING,INSIDER_SHARES,INSTITUTION_SHARES,BOOK_VALUE,NETINCOME_TO_COMMON,TRAILING_EPS,52WEEKCHANGE,EV/R,PRICETOBOOK
29,INDUSTRIAL,BUOU.SI,SGD,Frasers Logistics & Commercial Trust,SGD,SES,REGULAR,5062778368.0,1.38,21-06-2021 15:01:00,1.4,1.4,2021-06-21 06:50:29,1.0,6790006272.0,3668679936.0,0.23875,0.17318001,1.138,249198000.0,0.074,0.20689654,15.259,1.2214411
30,INDUSTRIAL,ME8U.SI,SGD,Mapletree Industrial Trust,SGD,SES,REGULAR,7066176000.0,2.78,21-06-2021 15:01:00,2.79,2.79,2021-06-21 06:50:48,1.0,8770367488.0,2541789952.0,0.0023999999,0.50909,1.657,164496992.0,0.071,-0.017605662,19.612,1.6777309
31,INDUSTRIAL,M44U.SI,SGD,Mapletree Logistics Trust,SGD,SES,REGULAR,8652084224.0,2.02,21-06-2021 15:01:00,2.0,2.03,2021-06-21 06:50:30,1.0,12672715776.0,4283209984.0,0.00418,0.58522,1.427,445712000.0,0.112,0.036001325,21.645,1.415557
32,INDUSTRIAL,M1GU.SI,SGD,Sabana Shari'ah Compliant Industrial Real Estate Investment Trust,SGD,SES,REGULAR,452824416.0,0.43,21-06-2021 15:01:00,0.43,0.435,2021-06-21 06:45:15,1.0,809319936.0,1053080000.0,0.37687,0.16028,0.513,-42210000.0,-0.04,0.22535217,11.287,0.83820665
33,DATACENTER,AJBU.SI,SGD,Keppel DC REIT,SGD,SES,REGULAR,4214662144.0,2.58,21-06-2021 15:01:01,2.55,2.55,2021-06-21 06:49:47,1.0,5170044928.0,1633590016.0,0.0058899997,0.52581,1.191,168152000.0,0.103,0.015936255,19.468,2.166247
34,DATACENTER,EQIX,USD,"Equinix, Inc. (REIT)",USD,NMS,PREPRE,73703661568.0,822.77,21-06-2021 15:01:01,815.5,815.46,2021-06-18 20:00:03,1.0,86556475392.0,89579904.0,0.00385,0.94834,118.079,407347008.0,4.556,0.18020773,14.156,6.9679623
35,DATACENTER,DLR,USD,"Digital Realty Trust, Inc.",USD,NYQ,PREPRE,43420868608.0,154.2,21-06-2021 15:01:01,156.83,156.69,2021-06-18 20:00:03,1.0,60079771648.0,281588000.0,0.00177,0.9943,59.255,432888992.0,1.562,0.0850749,14.411,2.6023118
36,DATACENTER,CONE,USD,CyrusOne Inc.,USD,NMS,PREPRE,8517477376.0,69.51,21-06-2021 15:01:01,68.57,69.34,2021-06-18 20:00:04,1.0,12383630336.0,122536000.0,0.00506,1.0608001,21.339,44400000.0,0.372,-0.084792614,11.401,3.257416
37,DATACENTER,COR,USD,CoreSite Realty Corporation,USD,NYQ,PREPRE,5701504000.0,132.64,21-06-2021 15:01:01,132.49,131.84,2021-06-18 20:00:02,1.0,7701867520.0,42984800.0,0.01095,0.95814,0.997,83329000.0,1.98,0.0999254,12.481,133.03912
38,DATACENTER,QTS,USD,"QTS Realty Trust, Inc.",USD,NYQ,PREPRE,5282065408.0,77.19,21-06-2021 15:01:01,77.25,77.24,2021-06-18 20:00:02,1.0,7805429760.0,68304896.0,0.00937,1.19738,18.326,-32494000.0,-0.521,0.22000945,13.941,4.2120485
